ANDHRA PRADESH,,,
Party Wise Results,,,
Party,Won,Leading,Total
Telugu Desam - TDP,135,0,135
Janasena Party - JnP,21,0,21
Yuvajana Sramika Rythu Congress Party - YSRCP,11,0,11
Bharatiya Janata Party - BJP,8,0,8
Total,175,0,175
,,,
ODISHA,,,
Party,Won,Leading,Total
Bharatiya Janata Party - BJP,78,0,78
Biju Janata Dal - BJD,51,0,51
Indian National Congress - INC,14,0,14
Communist Party of India (Marxist) - CPI(M),1,0,1
Independent - IND,3,0,3
Total,147,0,147
,,,
ARUNACHAL PRADESH,,,
Party,Won,Leading,Total
Bharatiya Janata Party - BJP,46,0,46
National People's Party - NPEP,5,0,5
Nationalist Congress Party - NCP,3,0,3
People's Party of Arunachal - PPA,2,0,2
Indian National Congress - INC,1,0,1
Independent - IND,3,0,3
Total,60,0,60
,,,
,,,
SIKKIM,,,
Party,Won,Leading,Total
Sikkim Krantikari Morcha - SKM,31,0,31
Sikkim Democratic Front - SDF,1,0,1
Total,32,0,32
